run_id,run_name,method,sparsity_coeff,state,L0_layer_2,mse_layer_2,explained_var_layer_2,explained_var_ln_layer_2,L0_layer_4,mse_layer_4,explained_var_layer_4,explained_var_ln_layer_4,L0_layer_6,mse_layer_6,explained_var_layer_6,explained_var_ln_layer_6
m3dhbkyu,gated_sparsity_coeff_5e-03,Gated,0.005,finished,2.833349666595459,0.00035121966153383254,0.7683410048484802,0.8154440522193909,1.9830996417999267,0.00033252012101002036,-0.37944531440734863,0.05904688313603401,0.5059297001361847,0.000290035312063992,-11.250553131103516,-6.384303092956543
r01qvgdj,gated_sparsity_coeff_0.01,Gated,0.01,finished,1.1699785423278808,0.0009159776312299072,-0.1229439303278923,0.13819226622581482,0.011652343943715096,0.0007932055345736444,-9236.9873046875,-10869.2685546875,0.00024414063009317035,0.00046211862470954654,-1416364687360.0,-1028978769920.0
0z7xnowf,gated_sparsity_coeff_0.05,Gated,0.05,finished,1.3671875349245964e-05,0.0033969382289797067,-19796177453056.0,-14258554273792.0,1.5625000232830645e-05,0.0008071199362166226,-55880003354624.0,-27693632454656.0,1.7578125407453627e-05,0.0004623582772910595,-33727585452032.0,-30314921459712.0
telhfrpd,gated_sparsity_coeff_0.1,Gated,0.1,finished,5.859375087311491e-06,0.00339694045484066,-22820104962048.0,-18267445919744.0,1.7578125116415323e-05,0.000807119645178318,-49300881014784.0,-26352778477568.0,1.5625000378349797e-05,0.0004623584088403732,-33899979735040.0,-24000155615232.0
9zi4y36r,gated_sparsity_coeff_0.5,Gated,0.5,finished,3.906250058207661e-06,0.0033969416841864585,-29832192720896.0,-20414925373440.0,1.9531250291038306e-06,0.000807121901307255,-70054901186560.0,-42753446641664.0,5.859375087311491e-06,0.0004623596381861716,-25561650954240.0,-20744002076672.0
9wbvwkk7,gated_sparsity_coeff_1,Gated,1.0,finished,3.906250058207661e-06,0.0033969428483396767,-35666805129216.0,-16676293705728.0,1.9531250291038306e-06,0.0008071219525299967,-107262186094592.0,-45120258834432.0,3.906250058207661e-06,0.0004623596696183085,-31754507255808.0,-26241031733248.0
gvpjgnbj,gated_sparsity_coeff_5,Gated,5.0,finished,0.0,0.0033969433419406415,-49721682952192.0,-19961537888256.0,0.0,0.0008071246510371566,-59413943549952.0,-35372549537792.0,5.859375087311491e-06,0.000462359607918188,-60864702971904.0,-36421767266304.0
hzxqjgv3,gated_sparsity_coeff_10,Gated,10.0,finished,1.9531250291038306e-06,0.0033969414047896863,-30013973856256.0,-20174684028928.0,0.0,0.0008071226812899113,-75575628660736.0,-31719088455680.0,1.9531250291038306e-06,0.00046236973023042085,-49811420086272.0,-25678833516544.0
ktjutkx5,gated_sparsity_coeff_50,Gated,50.0,finished,0.0,0.003396955421194434,-38430155210752.0,-17516101369856.0,1.9531250291038306e-06,0.0008072563144378365,-70139739373568.0,-32159911903232.0,0.0,0.00046293536433950067,-36005872664576.0,-26200663654400.0
nkqlax5b,gated_hard_concrete_sparsity_coeff_5e-03,GatedHardConcrete,0.005,finished,96.00000213623046,0.00035016578622162344,0.8406031727790833,0.847183346748352,66.58930450439453,0.0003939128259662539,0.09192439913749696,0.1517075002193451,50.00015106201172,0.00018185955181252212,0.009406447410583496,0.24384520947933197
464ckkps,gated_hard_concrete_sparsity_coeff_0.01,GatedHardConcrete,0.01,finished,102.0,0.0005586581444367766,0.7620711922645569,0.7660332322120667,72.42668151855469,0.00031290401704609395,0.3074287176132202,0.3929309844970703,50.001963500976565,0.0001810746651608497,0.01874871924519539,0.2474696934223175
1sgz4gfc,gated_hard_concrete_sparsity_coeff_0.05,GatedHardConcrete,0.05,finished,64.00174743652343,0.0003104748448822647,0.8538180589675903,0.8658810257911682,52.001014404296875,0.00026739394292235374,0.29830947518348694,0.46301504969596863,46.0,0.00018269376480020585,0.0036350928712636232,0.23995958268642423
ou8hkdos,gated_hard_concrete_sparsity_coeff_0.1,GatedHardConcrete,0.1,finished,42.0,0.00032577506033703684,0.8495814800262451,0.8609404563903809,47.0,0.00027000737609341743,0.2930438816547394,0.4567447006702423,46.0,0.00018187547335401177,0.017838826403021812,0.2490050792694092
ozat0som,gated_hard_concrete_sparsity_coeff_0.5,GatedHardConcrete,0.5,finished,26.0,0.0004240802919957787,0.8009152412414551,0.8168375492095947,35.0,0.0002814705634955317,0.25368186831474304,0.43856722116470337,26.0,0.00018712355056777597,-0.017113259062170982,0.1984141319990158
kninmffb,gated_hard_concrete_sparsity_coeff_1,GatedHardConcrete,1.0,finished,21.0,0.0005290782335214317,0.7403375506401062,0.7652740478515625,20.0,0.00031604881514795123,0.12169130891561508,0.3443889319896698,18.0,0.00019346233340911568,-0.0636812373995781,0.15910740196704865
i65ank1r,gated_hard_concrete_sparsity_coeff_5,GatedHardConcrete,5.0,finished,11.0,0.0009032687824219464,0.4176224172115326,0.5030964016914368,6.0,0.00047279046615585687,-0.8469498157501221,-0.31387537717819214,5.0,0.0002615063055418432,-0.8968130350112915,-0.3829755783081054
m5al5f1c,gated_hard_concrete_sparsity_coeff_10,GatedHardConcrete,10.0,finished,5.0,0.001379388403147459,-0.8352551460266113,-0.24567687511444092,2.0,0.0006666469015181065,-244.85107421875,-10.992889404296877,3.0,0.000332524006953463,-5.71566104888916,-2.6761436462402344
jttc8fkm,gated_hard_concrete_sparsity_coeff_50,GatedHardConcrete,50.0,finished,2.0,0.002024340108036995,-129.37631225585938,-6.771770477294922,1.0,0.0007693275762721896,-5760924.5,-298.7431640625,1.0,0.00045356725342571736,-10073539.0,-1863.1434326171875
hcj1zilv,hard_concrete_sparsity_coeff_5e-03,HardConcrete,0.005,finished,2.608968801498413,0.0012158247316256163,-0.31645894050598145,0.028907183557748795,0.0,0.0008089082175865769,-55862857039872.0,-43601769791488.0,0.0,0.0004626366787124425,-54898120982528.0,-26790261161984.0
n06f8454,hard_concrete_sparsity_coeff_5e-03,HardConcrete,0.005,finished,2.608968801498413,0.0012158247316256163,-0.31645894050598145,0.028907183557748795,0.0,0.0008089082175865769,-55862857039872.0,-43601769791488.0,0.0,0.0004626366787124425,-54898120982528.0,-26790261161984.0
